,Mean,Std,Max,Min,"Range (i.e., max-min)",Percentage above mean,Sum of net loads during business hours,Sum of net loads during non-business hours,Skewness,Kurtosis,Mode of 5-bin histogram,Longest period above mean,Longest period of successive increase,Peak_all: number,Peak_all: time,Peak_all: shortest interval between two peaks,Peak_all: duration,Peak_longest: occurrence time,Peak_longest: duration,Peak_longest: upward slope,Peak_longest: downward slope,Season,Intra-week Group,Installed PV Capacity (kW)
152,17.129431132969138,17.248270523873494,36.603999999999985,-44.76714335645503,81.37114335645501,0.5,122.07169438251852,700.141,-1.9165949602113304,4.521917983850921,12.19265699306348,8.0,3.5,1,[16.75],,[1.],16.75,1.0,1.0,-1.0,2,3,266.79999999999995
153,17.056304083853984,15.596643310141776,34.318666666666665,-36.005295670740736,70.32396233740741,0.5416666666666666,140.70992935832453,677.9926666666668,-1.7178512420330385,3.4276684242296946,27.286270432925928,9.0,5.0,1,[21.25],,[1.],21.25,1.0,1.0,-1.0,1,1,266.79999999999995
154,21.38691705323247,8.606474917173555,36.91799999999999,9.700499999999998,27.217499999999994,0.5208333333333334,372.9510185551588,653.6209999999999,0.2116697038803102,-1.3120109790613337,12.422249999999998,10.0,4.5,1,[19.25],,[4.],19.25,4.0,1.0,-1.0,1,2,266.79999999999995
155,23.646267981111777,9.77022169620905,39.79699999999999,9.068999999999999,30.72799999999999,0.5,465.49386309336506,669.527,-0.003077100746571712,-1.2692339836658943,12.141799999999998,9.0,1.5,1,[18.75],,[5.],18.75,5.0,1.0,-1.0,1,3,266.79999999999995
156,21.2565662431606,10.794960056816587,37.932,-7.163104468764552,45.09510446876455,0.5208333333333334,317.126679671709,703.1885,-0.42446806518512253,-0.2518192668086505,15.384447765617727,9.0,4.5,1,[19.],,[3.5],19.0,3.5,1.0,-1.0,1,1,266.79999999999995
0,18.97322113141573,13.55158935572591,37.595749999999995,-11.948822417255299,49.544572417255296,0.5416666666666666,202.64661430795502,708.068,-0.6084148504431378,-0.29124003081123284,12.823463791372351,9.0,3.5,1,[19.75],,[4.],19.75,4.0,1.0,-1.0,2,1,271.4
1,23.216916831091222,14.138654843329265,41.80750000000001,-17.052206536689148,58.85970653668916,0.5,251.5065078923783,862.9055000000002,-0.7958969251377767,0.5741332156005612,35.9215293463311,8.0,5.0,1,[19.5],,[4.5],19.5,4.5,1.0,-1.0,2,1,271.4
2,27.620883111773097,9.263805738823162,44.22550000000002,14.86175,29.363750000000017,0.4583333333333333,459.4936393651085,866.3087500000001,0.27848343732804254,-1.1103113904590243,17.798125000000002,8.0,3.5,1,[20.25],,[5.],20.25,5.0,1.0,-2.0,2,1,271.4
3,19.98108598237577,10.497754066516768,37.39525000000001,-1.1569536431124376,38.55220364311245,0.4375,235.48812715403702,723.604,0.12553916477405194,-0.9814214819255702,10.408707449821296,8.0,3.0,1,[20.],,[5.5],20.0,5.5,1.0,-1.0,2,1,271.4
4,17.38714307445183,13.893752497098221,39.33899999999999,-4.729387641551593,44.06838764155158,0.4791666666666667,83.99311757368784,750.58975,-0.02623131179677551,-1.1548207464760014,17.3048061792242,7.5,4.0,1,[19.5],,[4.5],19.5,4.5,1.0,-1.0,2,1,271.4
